ABAP,abap
ActionScript,actionscript
Ada,ada
Apache Configuration,apacheconf
APL,apl
AppleScript,applescript
Arduino,arduino
AsciiDoc,asciidoc
6502 Assembly,asm6502
ASP.NET (C#),aspnet
AutoHotkey,autohotkey
AutoIt,autoit
Bash,bash
BASIC,basic
Batch,batch
Bison,bison
Brainfuck,brainfuck
Bro,bro
C / C++,clike
C#,csharp
CoffeeScript,coffeescript
Crystal,crystal
CSS,css
CSS Extras,css-extras
D,d
Dart,dart
Django/Jinja2,django
Diff,diff
Docker,docker
Eiffel,eiffel
Elixir,elixir
Erlang,erlang
F#,fsharp
Flow,flow
Fortran,fortran
Gherkin,gherkin
Git,git
GLSL,glsl
Go,go
GraphQL,graphql
Groovy,groovy
Haml,haml
Handlebars,handlebars
Haskell,haskell
Haxe,haxe
HTTP,http
IchigoJam,ichigojam
Icon,icon
Inform 7,inform7
Ini,ini
J,j
Java,java
JavaScript,javascript
Jolie,jolie
JSON,json
Julia,julia
Keyman,keyman
Kotlin,kotlin
LaTeX,latex
Less,less
LiveScript,livescript
LOLCODE,lolcode
Lua,lua
Makefile,makefile
Markup,markup
Markdown,markdown
MATLAB,matlab
MEL,mel
Mizar,mizar
Monkey,monkey
N4JS,n4js
NASM,nasm
nginx,nginx
Nim,nim
Nix,nix
NSIS,nsis
Objective-C,objectivec
OCaml,ocaml
OpenCL,opencl
Oz,oz
PARI/GP,parigp
Parser,parser
Pascal,pascal
Perl,perl
PHP,php
PHP Extras,php-extras
PowerShell,powershell
Processing,processing
Prolog,prolog
.properties,properties
Protocol Buffers,protobuf
Pug,pug
Puppet,puppet
Pure,pure
Python,python
Q,q
Qore,qore
R,r
React JSX,jsx
Ren'py,renpy
Reason,reason
reST (reStructuredText),rest
Rip,rip
Roboconf,roboconf
Ruby,ruby
Rust,rust
SAS,sas
Sass (Sass),sass
Sass (Scss),scss
Scala,scala
Scheme,scheme
Smalltalk,smalltalk
Smarty,smarty
SQL,sql
Stylus,stylus
Swift,swift
Tcl,tcl
Textile,textile
Twig,twig
TypeScript,typescript
VB.Net,vbnet
Verilog,verilog
VHDL,vhdl
vim,vim
Wiki markup,wiki
Xeora,xeora
Xojo (REALbasic),xojo
YAML,yam
